SMILES,cluster,odour
CC1=C(C=C(C(=C1[N+](=O)[O-])OC)C(C)(C)C)[N+](=O)[O-],8,True
CCC(C)C(=O)OC,4,True
CC(C)COC(=O)C1=CC=CC=C1O,1,True
CCOC(=O)C1=CC=CC=C1N,6,True
COC1=C(C=C(C=C1Cl)Cl)Cl,4,True
CCOC(=O)C(C(C(=O)OCC)O)O,1,True
C=CCS,0,True
CC1CCOC(C1)C=C(C)C,1,True
CC(=O)C1=CC=CS1,4,True
C1=CC=C(C=C1)SSC2=CC=CC=C2,6,True
CC1CCC(=C(C)C)C(=O)C1,1,True
CC1=CC(=C(C=C1)C(C)C)O,6,True
C1=CC=C(C(=C1)C=O)O,4,True
COC1=CC=CC=C1O,4,True
CC1=CC=CC2=CC=CC=C12,6,True
C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,9,True
C1=CC=C2C=CC=CC2=C1,4,True
C1=CC=C2C(=C1)C=CC=N2,4,True
CC1=CC2=C(C=C1)N=CC=C2,6,True
C1=CC=C2C(=C1)C=CC(=O)O2,4,True
C1=CC=C(C=C1)C2=CC=CC=C2,6,True
COC1=CC2=CC=CC=C2C=C1,6,True
COC1=C(C=C(C=C1)CC=C)OC,1,True
CCOC1=CC2=CC=CC=C2C=C1,6,True
COC(=O)C1=CC=CC=C1,4,True
CCOC(=O)C1=CC=CC=C1,6,True
CC(C1=CC=CC=C1)OC(=O)C,6,True
CCCOC(=O)C1=CC=C(C=C1)O,6,True
CCCCOC(=O)C1=CC=C(C=C1)O,1,False
C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2,9,True
C=CCC1=CC2=C(C=C1)OCO2,6,True
CCOC(=O)CCSCC1=CC=CO1,1,True
CC1=CC=CC=C1C,4,True
CC1=CC=CC=C1O,4,True
C1=CC=C(C(=C1)O)Br,4,True
C1=CC=C(C(=C1)O)Cl,4,True
CC1=CC(=C(C=C1)C)C,6,True
CC1=C(C=C(C=C1)O)C,4,True
CC1=CC(=C(C=C1)C)O,4,True
CC1=CC(=C(C=C1C)C)C,6,True
CCC(=O)CC,4,True
C1CC(=O)OC1,0,True
CCC(=O)OC1CC(CC=C1C)C(=C)C,8,True
COC1=C(C=CC(=C1)CC=C)O,6,True
CCOC(=O)C(C)C,4,True
CCOC(=O)C(=C)C,4,True
CCOC(=O)C(C)O,4,True
CC(C)COC(=O)C(C)C,6,True
CCCCOC(=O)C(C)C,6,True
CCC(CC)CO,4,True
C1CC(OC1)CO,4,True
C1=COC(=C1)CO,0,True
C1=COC(=C1)C=O,0,True
CC(C)(C)C1=CC=C(C=C1)O,6,True
CC(C)C1=CC=CC=C1,6,True
CC(=O)C1=CC=CC=C1,4,True
CC1=CCC(CC1O)C(=C)C,1,True
CC1=CC=C(C=C1)C(=O)OC,6,True
CC1=CCC(=CC1)C(C)C,6,True
